Entity,Code,Year,oil_co2_emissions,flaring_co2_emissions,cement_co2_emissions,coal_co2_emissions,gas_co2_emissions,other_co2_emissions
Australia,AUS,1990,89228503,7304216,3477929,142496722,34605661,2251812
Australia,AUS,1991,88986132,7059954,3209697,147306572,33060893,2248299
Australia,AUS,1992,88474744,7350201,2941980,151004450,34186240,2374538
Australia,AUS,1993,91154922,7197466,3030216,151373333,35972940,2595801
Australia,AUS,1994,93922984,7029908,3560062,154668786,37837479,3065042
Australia,AUS,1995,97077825,7130735,3390997,157260801,40225371,2936858
Australia,AUS,1996,100103592,6857557,3289860,162661635,40332172,3087406
Australia,AUS,1997,100484798,6830013,3252474,171244360,41949880,3348029
Australia,AUS,1998,100517670,6996458,3523503,180053786,44090202,3515459
Australia,AUS,1999,101308163,7230156,3551868,184874589,45961207,3672885
Australia,AUS,2000,102976216,8002672,3643479,186942000,46885004,3370227
Australia,AUS,2001,103536396,8248443,3573847,191834949,49769358,3491661
Australia,AUS,2002,106126629,8131120,3541495,194076948,51352988,3883718
Australia,AUS,2003,110743032,7235656,3622382,197461817,50233250,3936909
Australia,AUS,2004,114937801,6930287,3591269,204293219,53059073,3954623
Australia,AUS,2005,116943646,6942461,3677853,201451589,54680660,3905383
Australia,AUS,2006,118868460,7136747,3936702,206941822,56508990,3901990
Australia,AUS,2007,120160665,7549347,3994399,204714241,61399959,4106929
Australia,AUS,2008,123968002,7583367,3914701,207415679,62615292,4156007
Australia,AUS,2009,120642597,7854227,3774968,203141854,62221846,3685837
Australia,AUS,2010,124383865,8179044,3543596,200252622,64171573,4002520
Australia,AUS,2011,130294807,7904587,3508635,192844687,66729290,4061878
Australia,AUS,2012,132536475,8217193,3488039,187514836,67124254,3785047
Australia,AUS,2013,134566468,8742874,3255357,174256021,68821037,3528862
Australia,AUS,2014,139450031,9398478,3179784,170392592,72773328,4059534
Australia,AUS,2015,137944710,10876884,3089795,174960954,72362414,4044654
Australia,AUS,2016,138744952,12592677,2966346,181723834,75955716,3961647
Australia,AUS,2017,139584895,14868801,3020179,176971641,76405243,3900437
Australia,AUS,2018,142784670,16954484,2946470,169640219,79770307,3905007
Australia,AUS,2019,141898646,20102012,3024613,164066313,81576167,3849082
Australia,AUS,2020,124605623,20341170,3024613,159817374,80208272,3894876
